Unnamed: 0,Att1,Att2,Att3,Att4,Att5,target
0.5972772,0.46279907,0.54818255,0.5469139,0.5676915,0.6099218,0
0.5969161,0.46306506,0.54813045,0.5468398,0.5670728,0.60946316,0
0.59763664,0.4626623,0.5483253,0.547545,0.56837183,0.60994434,0
0.5971398,0.46290028,0.5481627,0.5468857,0.567456,0.60974723,0
0.596733,0.46319988,0.548104,0.5468022,0.5667591,0.60923064,1
0.59709656,0.46293217,0.54815644,0.54687685,0.567382,0.60969234,1
0.5970444,0.46297055,0.54814893,0.5468661,0.56729263,0.6096261,0
0.597079,0.46294507,0.54815394,0.5468732,0.5673519,0.6096701,1
0.59761965,0.46257994,0.5482761,0.54696506,0.5681139,0.6102239,1
0.5971961,0.46285886,0.54817086,0.5468973,0.56755245,0.6098187,0
0.5968633,0.46315262,0.5481573,0.5470407,0.5670069,0.6092313,1
0.59729165,0.46285024,0.5482285,0.54718584,0.56774735,0.60973066,1
0.5973127,0.462773,0.54818773,0.5469212,0.5677521,0.6099667,0
0.5972439,0.46282363,0.5481777,0.54690707,0.56763434,0.6098794,1
0.59757805,0.46265754,0.54828286,0.54732424,0.5682473,0.6100324,1
0.59734815,0.46274692,0.54819286,0.5469288,0.56781304,0.6100115,1
0.59729767,0.46284926,0.54823184,0.54720205,0.56775945,0.60972667,1
0.59722143,0.46284643,0.548179,0.5469299,0.5675992,0.60982955,1
0.597386,0.46271896,0.54819834,0.5469362,0.56787777,0.6100598,0
0.5970979,0.46293113,0.5481567,0.5468771,0.5673843,0.60969406,0
0.5972156,0.46284446,0.5481737,0.5469013,0.5675859,0.6098435,0
0.5973461,0.46274832,0.54819256,0.54692805,0.56780946,0.6100092,1
0.59706,0.46295905,0.5481512,0.54686934,0.5673194,0.60964596,1
0.59707725,0.46296328,0.54816574,0.5469466,0.5673574,0.6096105,1
0.59741026,0.4627898,0.54831994,0.5468899,0.56747955,0.6097353,0
0.5971891,0.46286395,0.54816985,0.54689586,0.5675406,0.6098099,1
0.5971496,0.4628931,0.5481642,0.54688776,0.5674728,0.6097596,0
0.5971066,0.46292475,0.54815793,0.54687893,0.5673992,0.6097051,0
0.5967968,0.4632043,0.5481496,0.5470389,0.5668944,0.6091376,1
0.5970945,0.4629337,0.54815614,0.5468764,0.5673784,0.60968965,0
0.5973256,0.46287212,0.54826665,0.54739714,0.56782943,0.60961485,0
0.5977994,0.46267486,0.54844284,0.54815525,0.56871784,0.60970217,1
0.5970297,0.4629814,0.54814684,0.5468631,0.5672674,0.60960746,1
0.5972127,0.46305516,0.5483212,0.54780847,0.56768644,0.609133,0
0.5971404,0.4630487,0.5482684,0.5475337,0.5675324,0.6092437,1
0.59704775,0.46302843,0.5481922,0.5471294,0.56732875,0.60942584,0
0.59761506,0.4625932,0.5482887,0.5469584,0.56805706,0.6101785,0
0.5975061,0.46263048,0.5482156,0.5469609,0.5680835,0.61021227,0
0.5975121,0.46280506,0.5483435,0.54774153,0.5681845,0.6096134,1
0.59728885,0.4627905,0.5481842,0.5469163,0.5677114,0.6099365,0
0.5968938,0.4630815,0.5481272,0.54683524,0.5670346,0.60943484,0
0.59727407,0.46287584,0.54823494,0.54723716,0.5677237,0.6096656,0
0.59701747,0.4629904,0.54814506,0.54686064,0.56724644,0.6095919,0
0.5974235,0.46286747,0.5483287,0.5477108,0.56803113,0.60951054,0
0.59692174,0.46306095,0.5481312,0.5468409,0.5670824,0.6094703,1
0.59711,0.46302533,0.54823154,0.5473282,0.56745714,0.60936016,1
0.59727806,0.46279842,0.5481827,0.5469141,0.567693,0.6099228,0
0.59801376,0.46241897,0.54849684,0.5470396,0.5682237,0.61021477,1
