,Model,Dataset,Missing Rate,MAE_mean,MAE_std
21,softImpute,dadosAtt05,5,0.226,0.027
22,softImpute,dadosAtt05,10,0.217,0.03
23,softImpute,dadosAtt05,20,0.184,0.016
24,softImpute,dadosAtt10,5,0.258,0.036
25,softImpute,dadosAtt10,10,0.236,0.012
26,softImpute,dadosAtt10,20,0.191,0.013
27,softImpute,dadosAtt20,5,0.227,0.035
28,softImpute,dadosAtt20,10,0.206,0.028
29,softImpute,dadosAtt20,20,0.186,0.02
30,softImpute,dadosLabel05,5,0.228,0.026
31,softImpute,dadosLabel05,10,0.212,0.032
32,softImpute,dadosLabel05,20,0.183,0.021
33,softImpute,dadosLabel10,5,0.213,0.047
34,softImpute,dadosLabel10,10,0.199,0.032
35,softImpute,dadosLabel10,20,0.179,0.013
36,softImpute,dadosLabel20,5,0.239,0.054
37,softImpute,dadosLabel20,10,0.197,0.035
38,softImpute,dadosLabel20,20,0.179,0.033
39,softImpute,dados_sinteticos,5,0.242,0.03
40,softImpute,dados_sinteticos,10,0.222,0.037
41,softImpute,dados_sinteticos,20,0.187,0.012
