,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,mean,wiscosin,5,0.198,0.01
1,mean,wiscosin,10,0.187,0.01
2,mean,wiscosin,20,0.17,0.009
3,mean,pima,5,0.252,0.022
4,mean,pima,10,0.226,0.018
5,mean,pima,20,0.203,0.014
6,mean,indian_liver,5,0.237,0.01
7,mean,indian_liver,10,0.226,0.01
8,mean,indian_liver,20,0.213,0.01
9,mean,parkinsons,5,0.23,0.018
10,mean,parkinsons,10,0.22,0.019
11,mean,parkinsons,20,0.206,0.017
12,mean,mammographic_masses,5,0.257,0.016
13,mean,mammographic_masses,10,0.25,0.012
14,mean,mammographic_masses,20,0.246,0.007
15,mean,thoracic_surgery,5,0.201,0.006
16,mean,thoracic_surgery,10,0.203,0.005
17,mean,thoracic_surgery,20,0.203,0.01
18,mean,diabetic_retionapaty,5,0.206,0.003
19,mean,diabetic_retionapaty,10,0.193,0.007
20,mean,diabetic_retionapaty,20,0.166,0.004
21,mean,bc_coimbra,5,0.213,0.05
22,mean,bc_coimbra,10,0.206,0.052
23,mean,bc_coimbra,20,0.195,0.051
24,mean,thyroid_recurrence,5,0.276,0.012
25,mean,thyroid_recurrence,10,0.26,0.017
26,mean,thyroid_recurrence,20,0.249,0.02
27,mean,blood_transfusion,5,0.158,0.01
28,mean,blood_transfusion,10,0.157,0.013
29,mean,blood_transfusion,20,0.156,0.017
30,mean,law,5,0.339,0.002
31,mean,law,10,0.332,0.002
32,mean,law,20,0.309,0.001
