,Model,Dataset,Missing Rate,MAE_mean,MAE_std
165,pmivae,wiscosin,5,0.204,0.01
166,pmivae,wiscosin,10,0.191,0.008
167,pmivae,wiscosin,20,0.174,0.01
168,pmivae,pima,5,0.252,0.022
169,pmivae,pima,10,0.228,0.019
170,pmivae,pima,20,0.204,0.013
171,pmivae,indian_liver,5,0.263,0.01
172,pmivae,indian_liver,10,0.249,0.011
173,pmivae,indian_liver,20,0.23,0.011
174,pmivae,parkinsons,5,0.257,0.023
175,pmivae,parkinsons,10,0.245,0.019
176,pmivae,parkinsons,20,0.229,0.02
177,pmivae,mammographic_masses,5,0.07,0.016
178,pmivae,mammographic_masses,10,0.057,0.012
179,pmivae,mammographic_masses,20,0.104,0.043
180,pmivae,thoracic_surgery,5,0.197,0.006
181,pmivae,thoracic_surgery,10,0.195,0.005
182,pmivae,thoracic_surgery,20,0.184,0.012
183,pmivae,diabetic_retionapaty,5,0.193,0.003
184,pmivae,diabetic_retionapaty,10,0.176,0.007
185,pmivae,diabetic_retionapaty,20,0.148,0.004
186,pmivae,bc_coimbra,5,0.264,0.055
187,pmivae,bc_coimbra,10,0.261,0.057
188,pmivae,bc_coimbra,20,0.242,0.061
189,pmivae,thyroid_recurrence,5,0.267,0.012
190,pmivae,thyroid_recurrence,10,0.249,0.017
191,pmivae,thyroid_recurrence,20,0.233,0.02
192,pmivae,blood_transfusion,5,0.166,0.009
193,pmivae,blood_transfusion,10,0.162,0.012
194,pmivae,blood_transfusion,20,0.159,0.018
195,pmivae,law,5,0.295,0.002
196,pmivae,law,10,0.284,0.002
197,pmivae,law,20,0.25,0.002
