Dataset;Missing Rate;MEAN;KNN;MICE;PMIVAE;SOFTIMPUTE;GAIN;BAYESIAN;MISSFOREST
dados_sinteticos;5;0.341 ± 0.013;0.302 ± 0.038;0.228 ± 0.024;0.341 ± 0.013;0.255 ± 0.025;0.444 ± 0.064;0.228 ± 0.024;0.249 ± 0.03
dados_sinteticos;10;0.306 ± 0.007;0.314 ± 0.022;0.223 ± 0.015;0.305 ± 0.007;0.241 ± 0.018;0.447 ± 0.039;0.223 ± 0.015;0.244 ± 0.016
dados_sinteticos;20;0.275 ± 0.006;0.302 ± 0.011;0.208 ± 0.012;0.274 ± 0.006;0.181 ± 0.016;0.42 ± 0.059;0.208 ± 0.012;0.237 ± 0.015
dadosAtt05;5;0.343 ± 0.013;0.32 ± 0.042;0.243 ± 0.024;0.343 ± 0.013;0.227 ± 0.036;0.47 ± 0.06;0.243 ± 0.024;0.279 ± 0.028
dadosAtt05;10;0.307 ± 0.007;0.319 ± 0.023;0.229 ± 0.016;0.307 ± 0.007;0.218 ± 0.03;0.453 ± 0.063;0.229 ± 0.016;0.256 ± 0.014
dadosAtt05;20;0.274 ± 0.005;0.301 ± 0.007;0.215 ± 0.01;0.272 ± 0.004;0.193 ± 0.017;0.416 ± 0.031;0.215 ± 0.01;0.249 ± 0.014
dadosAtt10;5;0.341 ± 0.016;0.332 ± 0.036;0.274 ± 0.027;0.341 ± 0.016;0.233 ± 0.026;0.454 ± 0.013;0.274 ± 0.027;0.288 ± 0.031
dadosAtt10;10;0.304 ± 0.01;0.332 ± 0.025;0.254 ± 0.018;0.304 ± 0.01;0.204 ± 0.01;0.429 ± 0.027;0.254 ± 0.018;0.27 ± 0.017
dadosAtt10;20;0.271 ± 0.007;0.298 ± 0.014;0.236 ± 0.014;0.27 ± 0.007;0.182 ± 0.01;0.414 ± 0.046;0.236 ± 0.014;0.253 ± 0.014
dadosAtt20;5;0.345 ± 0.017;0.338 ± 0.024;0.289 ± 0.019;0.345 ± 0.016;0.266 ± 0.047;0.471 ± 0.035;0.289 ± 0.019;0.295 ± 0.017
dadosAtt20;10;0.309 ± 0.011;0.321 ± 0.016;0.277 ± 0.015;0.307 ± 0.01;0.242 ± 0.033;0.414 ± 0.036;0.277 ± 0.015;0.278 ± 0.017
dadosAtt20;20;0.272 ± 0.009;0.293 ± 0.007;0.253 ± 0.013;0.27 ± 0.009;0.187 ± 0.015;0.415 ± 0.047;0.253 ± 0.013;0.259 ± 0.012
dadosLabel05;5;0.348 ± 0.051;0.315 ± 0.071;0.255 ± 0.058;0.347 ± 0.051;0.216 ± 0.042;0.441 ± 0.068;0.255 ± 0.058;0.287 ± 0.059
dadosLabel05;10;0.319 ± 0.048;0.321 ± 0.07;0.245 ± 0.054;0.317 ± 0.047;0.2 ± 0.016;0.388 ± 0.059;0.245 ± 0.054;0.271 ± 0.048
dadosLabel05;20;0.294 ± 0.05;0.313 ± 0.048;0.234 ± 0.055;0.293 ± 0.05;0.199 ± 0.047;0.389 ± 0.079;0.234 ± 0.055;0.264 ± 0.05
dadosLabel10;5;0.346 ± 0.051;0.307 ± 0.071;0.253 ± 0.056;0.346 ± 0.05;0.213 ± 0.034;0.451 ± 0.056;0.253 ± 0.056;0.28 ± 0.066
dadosLabel10;10;0.318 ± 0.048;0.323 ± 0.068;0.245 ± 0.055;0.316 ± 0.048;0.223 ± 0.066;0.389 ± 0.041;0.245 ± 0.055;0.266 ± 0.058
dadosLabel10;20;0.294 ± 0.05;0.312 ± 0.046;0.234 ± 0.055;0.291 ± 0.049;0.187 ± 0.04;0.408 ± 0.052;0.234 ± 0.055;0.264 ± 0.049
dadosLabel20;5;0.348 ± 0.052;0.325 ± 0.066;0.255 ± 0.059;0.348 ± 0.052;0.232 ± 0.039;0.474 ± 0.079;0.255 ± 0.059;0.283 ± 0.062
dadosLabel20;10;0.319 ± 0.048;0.324 ± 0.067;0.246 ± 0.053;0.318 ± 0.048;0.19 ± 0.022;0.454 ± 0.057;0.246 ± 0.053;0.271 ± 0.051
dadosLabel20;20;0.294 ± 0.051;0.312 ± 0.047;0.235 ± 0.054;0.291 ± 0.05;0.176 ± 0.017;0.396 ± 0.058;0.235 ± 0.054;0.263 ± 0.047
