,Model,Dataset,Missing Rate,MAE_mean,MAE_std
180,pmivae,wiscosin,5,0.207,0.011
181,pmivae,wiscosin,10,0.203,0.01
182,pmivae,wiscosin,20,0.195,0.01
183,pmivae,pima,5,0.265,0.022
184,pmivae,pima,10,0.242,0.018
185,pmivae,pima,20,0.23,0.015
186,pmivae,indian_liver,5,0.265,0.01
187,pmivae,indian_liver,10,0.254,0.011
188,pmivae,indian_liver,20,0.245,0.009
189,pmivae,parkinsons,5,0.259,0.02
190,pmivae,parkinsons,10,0.255,0.02
191,pmivae,parkinsons,20,0.25,0.016
192,pmivae,mammographic_masses,5,0.072,0.016
193,pmivae,mammographic_masses,10,0.162,0.045
194,pmivae,mammographic_masses,20,0.167,0.008
195,pmivae,thoracic_surgery,5,0.198,0.006
196,pmivae,thoracic_surgery,10,0.198,0.005
197,pmivae,thoracic_surgery,20,0.19,0.012
198,pmivae,diabetic_retionapaty,5,0.192,0.002
199,pmivae,diabetic_retionapaty,10,0.181,0.007
200,pmivae,diabetic_retionapaty,20,0.16,0.004
201,pmivae,german_credit,5,0.215,0.001
202,pmivae,german_credit,10,0.214,0.002
203,pmivae,german_credit,20,0.216,0.012
204,pmivae,bc_coimbra,5,0.27,0.052
205,pmivae,bc_coimbra,10,0.263,0.053
206,pmivae,bc_coimbra,20,0.257,0.049
207,pmivae,thyroid_recurrence,5,0.274,0.014
208,pmivae,thyroid_recurrence,10,0.267,0.018
209,pmivae,thyroid_recurrence,20,0.251,0.02
210,pmivae,blood_transfusion,5,0.168,0.011
211,pmivae,blood_transfusion,10,0.171,0.014
212,pmivae,blood_transfusion,20,0.178,0.017
213,pmivae,law,5,0.299,0.002
214,pmivae,law,10,0.292,0.002
215,pmivae,law,20,0.327,0.002
