,Model,Dataset,Missing Rate,MAE_mean,MAE_std
216,bayesian,wiscosin,5,0.07,0.013
217,bayesian,wiscosin,10,0.074,0.004
218,bayesian,wiscosin,20,0.086,0.007
219,bayesian,pima,5,0.222,0.03
220,bayesian,pima,10,0.198,0.018
221,bayesian,pima,20,0.194,0.013
222,bayesian,indian_liver,5,0.194,0.011
223,bayesian,indian_liver,10,0.197,0.007
224,bayesian,indian_liver,20,0.206,0.011
225,bayesian,parkinsons,5,0.142,0.026
226,bayesian,parkinsons,10,0.139,0.023
227,bayesian,parkinsons,20,0.172,0.013
228,bayesian,mammographic_masses,5,0.097,0.024
229,bayesian,mammographic_masses,10,0.096,0.017
230,bayesian,mammographic_masses,20,0.116,0.012
231,bayesian,thoracic_surgery,5,0.13,0.005
232,bayesian,thoracic_surgery,10,0.141,0.007
233,bayesian,thoracic_surgery,20,0.171,0.016
234,bayesian,diabetic_retionapaty,5,0.165,0.005
235,bayesian,diabetic_retionapaty,10,0.155,0.008
236,bayesian,diabetic_retionapaty,20,0.139,0.004
237,bayesian,german_credit,5,0.11,0.006
238,bayesian,german_credit,10,0.149,0.004
239,bayesian,german_credit,20,0.195,0.004
240,bayesian,bc_coimbra,5,0.196,0.033
241,bayesian,bc_coimbra,10,0.197,0.025
242,bayesian,bc_coimbra,20,0.21,0.023
243,bayesian,thyroid_recurrence,5,0.201,0.022
244,bayesian,thyroid_recurrence,10,0.2,0.04
245,bayesian,thyroid_recurrence,20,0.204,0.038
246,bayesian,blood_transfusion,5,0.085,0.019
247,bayesian,blood_transfusion,10,0.113,0.023
248,bayesian,blood_transfusion,20,0.149,0.023
249,bayesian,law,5,0.137,0.002
250,bayesian,law,10,0.18,0.004
251,bayesian,law,20,0.256,0.001
