,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,mean,wiscosin,5,0.204,0.01
1,mean,wiscosin,10,0.199,0.009
2,mean,wiscosin,20,0.192,0.009
3,mean,pima,5,0.263,0.021
4,mean,pima,10,0.241,0.019
5,mean,pima,20,0.228,0.015
6,mean,indian_liver,5,0.242,0.009
7,mean,indian_liver,10,0.236,0.009
8,mean,indian_liver,20,0.236,0.01
9,mean,parkinsons,5,0.234,0.018
10,mean,parkinsons,10,0.231,0.018
11,mean,parkinsons,20,0.229,0.016
12,mean,mammographic_masses,5,0.264,0.016
13,mean,mammographic_masses,10,0.262,0.012
14,mean,mammographic_masses,20,0.274,0.008
15,mean,thoracic_surgery,5,0.207,0.006
16,mean,thoracic_surgery,10,0.214,0.006
17,mean,thoracic_surgery,20,0.225,0.011
18,mean,diabetic_retionapaty,5,0.209,0.002
19,mean,diabetic_retionapaty,10,0.199,0.007
20,mean,diabetic_retionapaty,20,0.182,0.004
21,mean,german_credit,5,0.275,0.001
22,mean,german_credit,10,0.285,0.002
23,mean,german_credit,20,0.296,0.001
24,mean,bc_coimbra,5,0.22,0.049
25,mean,bc_coimbra,10,0.218,0.051
26,mean,bc_coimbra,20,0.219,0.051
27,mean,thyroid_recurrence,5,0.283,0.011
28,mean,thyroid_recurrence,10,0.274,0.017
29,mean,thyroid_recurrence,20,0.276,0.019
30,mean,blood_transfusion,5,0.162,0.011
31,mean,blood_transfusion,10,0.167,0.014
32,mean,blood_transfusion,20,0.176,0.017
33,mean,law,5,0.347,0.002
34,mean,law,10,0.349,0.002
35,mean,law,20,0.342,0.001
