,Model,Dataset,Missing Rate,MAE_mean,MAE_std
36,softImpute,wiscosin,5,0.106,0.017
37,softImpute,wiscosin,10,0.099,0.004
38,softImpute,wiscosin,20,0.088,0.007
39,softImpute,pima,5,0.188,0.022
40,softImpute,pima,10,0.171,0.005
41,softImpute,pima,20,0.161,0.01
42,softImpute,indian_liver,5,0.139,0.026
43,softImpute,indian_liver,10,0.167,0.04
44,softImpute,indian_liver,20,0.151,0.032
45,softImpute,parkinsons,5,0.143,0.037
46,softImpute,parkinsons,10,0.163,0.07
47,softImpute,parkinsons,20,0.17,0.033
48,softImpute,mammographic_masses,5,0.235,0.039
49,softImpute,mammographic_masses,10,0.22,0.028
50,softImpute,mammographic_masses,20,0.245,0.015
51,softImpute,thoracic_surgery,5,0.174,0.011
52,softImpute,thoracic_surgery,10,0.186,0.011
53,softImpute,thoracic_surgery,20,0.194,0.02
54,softImpute,diabetic_retionapaty,5,0.182,0.027
55,softImpute,diabetic_retionapaty,10,0.173,0.018
56,softImpute,diabetic_retionapaty,20,0.157,0.021
57,softImpute,german_credit,5,0.259,0.011
58,softImpute,german_credit,10,0.272,0.008
59,softImpute,german_credit,20,0.271,0.008
60,softImpute,bc_coimbra,5,0.18,0.065
61,softImpute,bc_coimbra,10,0.149,0.055
62,softImpute,bc_coimbra,20,0.16,0.063
63,softImpute,thyroid_recurrence,5,0.221,0.021
64,softImpute,thyroid_recurrence,10,0.208,0.041
65,softImpute,thyroid_recurrence,20,0.227,0.039
66,softImpute,blood_transfusion,5,0.03,0.013
67,softImpute,blood_transfusion,10,0.033,0.012
68,softImpute,blood_transfusion,20,0.046,0.015
69,softImpute,law,5,0.27,0.009
70,softImpute,law,10,0.263,0.012
71,softImpute,law,20,0.256,0.012
