,Model,Dataset,Missing Rate,MAE_mean,MAE_std
144,gain,wiscosin,5,0.428,0.024
145,gain,wiscosin,10,0.429,0.013
146,gain,wiscosin,20,0.421,0.019
147,gain,pima,5,0.47,0.057
148,gain,pima,10,0.445,0.098
149,gain,pima,20,0.485,0.04
150,gain,indian_liver,5,0.488,0.061
151,gain,indian_liver,10,0.484,0.054
152,gain,indian_liver,20,0.462,0.11
153,gain,parkinsons,5,0.441,0.027
154,gain,parkinsons,10,0.465,0.033
155,gain,parkinsons,20,0.474,0.017
156,gain,mammographic_masses,5,0.534,0.166
157,gain,mammographic_masses,10,0.448,0.112
158,gain,mammographic_masses,20,0.508,0.15
159,gain,thoracic_surgery,5,0.423,0.064
160,gain,thoracic_surgery,10,0.404,0.067
161,gain,thoracic_surgery,20,0.448,0.051
162,gain,diabetic_retionapaty,5,0.444,0.043
163,gain,diabetic_retionapaty,10,0.442,0.028
164,gain,diabetic_retionapaty,20,0.396,0.044
165,gain,german_credit,5,0.387,0.066
166,gain,german_credit,10,0.426,0.075
167,gain,german_credit,20,0.436,0.038
168,gain,bc_coimbra,5,0.494,0.066
169,gain,bc_coimbra,10,0.478,0.068
170,gain,bc_coimbra,20,0.651,0.081
171,gain,thyroid_recurrence,5,0.551,0.067
172,gain,thyroid_recurrence,10,0.437,0.05
173,gain,thyroid_recurrence,20,0.494,0.058
174,gain,blood_transfusion,5,0.471,0.119
175,gain,blood_transfusion,10,0.549,0.111
176,gain,blood_transfusion,20,0.589,0.126
177,gain,law,5,0.446,0.067
178,gain,law,10,0.499,0.063
179,gain,law,20,0.489,0.07
