,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,missForest,wiscosin,5,0.119,0.011
1,missForest,wiscosin,10,0.122,0.012
2,missForest,wiscosin,20,0.116,0.01
3,missForest,pima,5,0.211,0.025
4,missForest,pima,10,0.184,0.017
5,missForest,pima,20,0.175,0.018
6,missForest,indian_liver,5,0.173,0.021
7,missForest,indian_liver,10,0.158,0.01
8,missForest,indian_liver,20,0.163,0.011
9,missForest,parkinsons,5,0.169,0.024
10,missForest,parkinsons,10,0.157,0.027
11,missForest,parkinsons,20,0.165,0.012
12,missForest,mammographic_masses,5,0.071,0.01
13,missForest,mammographic_masses,10,0.061,0.015
14,missForest,mammographic_masses,20,0.047,0.007
15,missForest,thoracic_surgery,5,0.123,0.015
16,missForest,thoracic_surgery,10,0.126,0.007
17,missForest,thoracic_surgery,20,0.132,0.009
18,missForest,diabetic_retionapaty,5,0.151,0.027
19,missForest,diabetic_retionapaty,10,0.122,0.019
20,missForest,diabetic_retionapaty,20,0.117,0.009
21,missForest,bc_coimbra,5,0.181,0.027
22,missForest,bc_coimbra,10,0.191,0.046
23,missForest,bc_coimbra,20,0.202,0.06
24,missForest,thyroid_recurrence,5,0.192,0.034
25,missForest,thyroid_recurrence,10,0.177,0.031
26,missForest,thyroid_recurrence,20,0.174,0.051
27,missForest,blood_transfusion,5,0.028,0.005
28,missForest,blood_transfusion,10,0.029,0.009
29,missForest,blood_transfusion,20,0.042,0.014
30,missForest,law,5,0.112,0.001
31,missForest,law,10,0.108,0.005
32,missForest,law,20,0.114,0.003
