,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,bayesian,wiscosin,5,0.07,0.013
1,bayesian,wiscosin,10,0.072,0.004
2,bayesian,wiscosin,20,0.077,0.008
3,bayesian,pima,5,0.219,0.023
4,bayesian,pima,10,0.191,0.014
5,bayesian,pima,20,0.18,0.01
6,bayesian,indian_liver,5,0.188,0.012
7,bayesian,indian_liver,10,0.185,0.006
8,bayesian,indian_liver,20,0.179,0.011
9,bayesian,parkinsons,5,0.134,0.024
10,bayesian,parkinsons,10,0.132,0.015
11,bayesian,parkinsons,20,0.134,0.019
12,bayesian,mammographic_masses,5,0.089,0.011
13,bayesian,mammographic_masses,10,0.106,0.015
14,bayesian,mammographic_masses,20,0.116,0.01
15,bayesian,thoracic_surgery,5,0.131,0.011
16,bayesian,thoracic_surgery,10,0.145,0.011
17,bayesian,thoracic_surgery,20,0.151,0.01
18,bayesian,diabetic_retionapaty,5,0.166,0.005
19,bayesian,diabetic_retionapaty,10,0.152,0.006
20,bayesian,diabetic_retionapaty,20,0.129,0.004
21,bayesian,bc_coimbra,5,0.188,0.033
22,bayesian,bc_coimbra,10,0.19,0.024
23,bayesian,bc_coimbra,20,0.186,0.023
24,bayesian,thyroid_recurrence,5,0.204,0.023
25,bayesian,thyroid_recurrence,10,0.175,0.017
26,bayesian,thyroid_recurrence,20,0.173,0.026
27,bayesian,blood_transfusion,5,0.085,0.014
28,bayesian,blood_transfusion,10,0.099,0.021
29,bayesian,blood_transfusion,20,0.127,0.012
30,bayesian,law,5,0.136,0.002
31,bayesian,law,10,0.173,0.002
32,bayesian,law,20,0.182,0.003
