,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,softImpute,dadosAtt05,5,0.227,0.036
1,softImpute,dadosAtt05,10,0.218,0.03
2,softImpute,dadosAtt05,20,0.193,0.017
3,softImpute,dadosAtt10,5,0.233,0.026
4,softImpute,dadosAtt10,10,0.204,0.01
5,softImpute,dadosAtt10,20,0.182,0.01
6,softImpute,dadosAtt20,5,0.266,0.047
7,softImpute,dadosAtt20,10,0.242,0.033
8,softImpute,dadosAtt20,20,0.187,0.015
9,softImpute,dadosLabel05,5,0.216,0.042
10,softImpute,dadosLabel05,10,0.2,0.016
11,softImpute,dadosLabel05,20,0.199,0.047
12,softImpute,dadosLabel10,5,0.213,0.034
13,softImpute,dadosLabel10,10,0.223,0.066
14,softImpute,dadosLabel10,20,0.187,0.04
15,softImpute,dadosLabel20,5,0.232,0.039
16,softImpute,dadosLabel20,10,0.19,0.022
17,softImpute,dadosLabel20,20,0.176,0.017
18,softImpute,dados_sinteticos,5,0.255,0.025
19,softImpute,dados_sinteticos,10,0.241,0.018
20,softImpute,dados_sinteticos,20,0.181,0.016
