Unnamed: 0,Att1,Att2,Att3,Att4,Att5,target
0.4763993,0.47810817,0.517107,0.41488636,0.52319205,0.48445895,0
0.47660312,0.4784169,0.51662284,0.41585,0.5229555,0.48506892,0
0.4764657,0.47820875,0.51694924,0.41520023,0.523115,0.48465768,0
0.47655827,0.4783489,0.51672935,0.41563785,0.5230075,0.48493463,1
0.47655314,0.4783412,0.5167415,0.41561374,0.5230135,0.48491937,1
0.47636876,0.47806185,0.51717955,0.41474205,0.5232275,0.48436755,0
0.47662657,0.47845244,0.5165671,0.41596097,0.52292824,0.4851391,0
0.47654372,0.47832692,0.5167638,0.41556922,0.5230243,0.4848912,1
0.47637376,0.47806945,0.5171677,0.41476566,0.52322173,0.48438245,1
0.4764901,0.47824568,0.5168913,0.41531563,0.5230866,0.48473066,0
0.47653916,0.47832,0.5167747,0.41554755,0.5230297,0.48487747,1
0.476436,0.47816375,0.5170198,0.4150598,0.52314943,0.48456874,1
0.4763625,0.47805238,0.5171944,0.41471243,0.52323484,0.4843488,1
0.4764708,0.47821647,0.51693714,0.4152243,0.5231091,0.48467287,0
0.47643632,0.47825328,0.5167403,0.4154661,0.5230121,0.48483786,1
0.47672594,0.47860292,0.516331,0.41643098,0.52281284,0.48543644,0
0.47654125,0.4783232,0.5167697,0.41555747,0.5230273,0.48488376,1
0.476304,0.47796378,0.5173334,0.414436,0.5233027,0.48417372,1
0.47655162,0.47835895,0.51668227,0.41569778,0.5229843,0.48497525,0
0.4763001,0.4779579,0.51734257,0.41441765,0.5233072,0.4841621,0
0.4763389,0.47801664,0.5172505,0.4146009,0.5232622,0.48427817,0
0.47657073,0.47836784,0.5166998,0.41569683,0.522993,0.48497194,1
0.47656223,0.47835496,0.51671994,0.41565663,0.5230029,0.4849465,1
0.47653472,0.47831324,0.5167853,0.41552645,0.5230349,0.48486412,0
0.47648993,0.47824544,0.51689166,0.41531482,0.52308685,0.48473018,1
0.4765418,0.47832394,0.5167685,0.41555992,0.52302665,0.4848853,1
0.47646773,0.4782118,0.5169444,0.4152098,0.52311265,0.4846637,0
0.47642606,0.4781487,0.51704335,0.4150129,0.523161,0.484539,0
0.4766687,0.4785162,0.5164671,0.41616,0.52287936,0.48526502,1
0.47656837,0.47836426,0.51670533,0.4156857,0.5229958,0.4849649,1
0.47656724,0.47836247,0.5167081,0.4156802,0.52299714,0.48496145,0
0.47654772,0.47839975,0.51654536,0.4158916,0.52291703,0.48510417,0
0.47663093,0.478459,0.51655674,0.41598147,0.5229232,0.4851521,1
0.47648585,0.47823924,0.51690143,0.41529548,0.5230916,0.48471794,0
0.47635946,0.47804782,0.5172016,0.41469812,0.5232383,0.48433974,1
0.4759305,0.47790983,0.51661813,0.4149969,0.5229488,0.48459765,0
0.4764509,0.4781863,0.5169844,0.4151303,0.52313215,0.48461333,1
0.47656333,0.47835663,0.51671726,0.41566196,0.52300155,0.4849499,1
0.47644624,0.47817928,0.51699543,0.41510826,0.52313757,0.4845994,0
0.47650978,0.47842497,0.5163765,0.4160884,0.52283376,0.48523983,1
0.47661793,0.4784393,0.5165876,0.41592,0.52293825,0.48511317,1
0.47662586,0.47845134,0.5165688,0.4159575,0.5229291,0.48513693,0
0.47669554,0.4785569,0.5164032,0.41628718,0.5228481,0.4853455,1
0.4766389,0.47847107,0.5165378,0.4160192,0.5229139,0.48517597,0
0.47651324,0.47839242,0.51648664,0.41593283,0.52288795,0.4851363,0
0.47654206,0.47832435,0.51676786,0.41556114,0.52302635,0.48488608,0
0.47664198,0.47847572,0.5165305,0.4160338,0.5229103,0.48518518,0
0.47642514,0.4781473,0.5170456,0.4150085,0.52316207,0.48453626,0
0.47620535,0.47815114,0.5165133,0.41550055,0.5228991,0.48489296,0
0.4765328,0.47831038,0.51678985,0.41551745,0.5230371,0.48485842,1
0.4766705,0.47857416,0.5162899,0.41641986,0.5227923,0.48543683,1
0.47648627,0.4782399,0.51690036,0.4152975,0.5230911,0.48471922,0
0.4766416,0.47847512,0.5165314,0.41603187,0.5229108,0.48518395,0
0.47657892,0.4783802,0.5166803,0.41573557,0.52298355,0.48499644,1
0.47669512,0.47855625,0.5164042,0.41628516,0.52284867,0.48534423,1
0.47654423,0.4783277,0.51676273,0.41557148,0.5230238,0.48489264,0
0.4764948,0.4782528,0.51688015,0.41533777,0.5230812,0.48474473,1
0.47637904,0.47830763,0.51643443,0.41583702,0.5228615,0.4850916,1
